Reference,Value,Footprint,Datasheet,Qty,Total Order Qty
C1-C4,C0.1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.my/en/products/detail/yageo/CC0805ZRY5V9BB104/2103099,4,30
C5,C4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.my/en/products/detail/samsung-electro-mechanics/CL21A475KAQNNNE/3886902,1,10
"C6, C8",C22p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.my/en/products/detail/kemet/C0805C220J5GAC7800/411112,2,12
C7,C1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.my/en/products/detail/yageo/CC0805KKX7R7BB105/2103103,1,6
"D1-D29, D31-D52, D55-D67, D69, D70, D72-D81, D83-D96",D_Small,Diode_SMD:D_SOD-123,https://www.digikey.sg/en/products/detail/diodes-incorporated/1N4148W-7-F/814371,90,200
F1,Fuse,Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,1,6
J1 ,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,~,1,
MX1,ESC,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX2,F1,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX3,F2,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX4,F3,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX5,F4,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX6,F5,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX7,F6,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX8,F7,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX9,F8,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX10,F9,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX11,F10,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX12,F11,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX13,F12,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX14,PRTSC,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX15,SCRLK,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX16,Pa/Br,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX17,_~_,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX18,1,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX19,2,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX20,3,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
MX21,4,marbastlib-mx:SW_MX_HS_S_1u,https://www.digikey.my/en/products/detail/adafruit-industries-llc/4958/13997772,1,
